ticker,company_name,label_distressed,event_date,source,notes
JETAIRWAYS.BO,Jet Airways (India) Ltd,1,2019-06-20,NCLT CIRP admission,"Grounded operations Apr 2019, CIRP admitted Jun 2019"
DHFL.BO,Dewan Housing Finance Corporation Ltd,1,2019-11-29,NCLT CIRP admission,"First NBFC referred to NCLT by RBI"
RCOM.NS,Reliance Communications Ltd,1,2019-05-08,NCLT CIRP admission,"Admitted to insolvency after debt default"
BHUSHANSTEEL.NS,Bhushan Steel Ltd,1,2017-07-26,NCLT CIRP admission,"One of RBI's first 12 large NPA referrals"
ESSARSHIPPING.BO,Essar Steel India Ltd,1,2017-08-02,NCLT CIRP admission,"Later acquired by ArcelorMittal via resolution"
VIDEOIND.BO,Videocon Industries Ltd,1,2018-01-31,NCLT CIRP admission,"Consumer electronics conglomerate, later liquidated"
ALOKTEXT.BO,Alok Industries Ltd,1,2017-07-18,NCLT CIRP admission,"Textiles major, one of RBI's first 12 referrals"
RELCAPITAL.BO,Reliance Capital Ltd,1,2021-11-29,RBI superseded board + CIRP,"RBI took control before NCLT referral"
RELIANCE.NS,Reliance Industries Ltd,0,2023-03-31,Healthy comparison (large-cap, stable),"Seed healthy example -- expand this list"
TCS.NS,Tata Consultancy Services Ltd,0,2023-03-31,Healthy comparison (large-cap, stable),"Seed healthy example -- expand this list"
HDFCBANK.NS,HDFC Bank Ltd,0,2023-03-31,Healthy comparison (large-cap, stable),"Seed healthy example -- expand this list"
INFY.NS,Infosys Ltd,0,2023-03-31,Healthy comparison (large-cap, stable),"Seed healthy example -- expand this list"
ITC.NS,ITC Ltd,0,2023-03-31,Healthy comparison (large-cap, stable),"Seed healthy example -- expand this list"
